Fecha,Hora,CO,NO2,O3,PM10,SO2
2017-01-01,0:00,0,0.018,0.021,27,0.002
2017-01-01,1:00,0,0.013,0.022,23,0.002
2017-01-01,2:00,0,0.015,0.020,29,0.001
2017-01-01,3:00,0,0.012,0.023,31,0.001
2017-01-01,4:00,0,0.018,0.016,30,0.001
2017-01-01,5:00,0,0.028,0,41,0.001
2017-01-01,6:00,0,0.030,0.001,74,0.002
2017-01-01,7:00,0,0.031,0.003,81,0.002
2017-01-01,8:00,0,0.029,0,111,0.002
2017-01-01,9:00,0,0.035,0.003,100,0.002
2017-01-01,10:00,0,0.032,0.021,100,0.002
2017-01-01,11:00,0,0.011,0.037,80,0.001
2017-01-01,12:00,0,0.006,0.041,32,0.001
2017-01-01,13:00,0,0.005,0.049,20,0.001
2017-01-01,14:00,0,0.004,0.049,19,0.001
2017-01-01,15:00,0,0.005,0.043,15,0.001
2017-01-01,16:00,0,0.004,0.044,26,0.001
2017-01-01,17:00,0,0.005,0.044,20,0.001
2017-01-01,18:00,0,0.007,0.041,19,0.001
2017-01-01,19:00,0,0.010,0.036,25,0.001
2017-01-01,20:00,0,0.013,0.029,28,0.001
2017-01-01,21:00,0,0.015,0.026,26,0.001
2017-01-01,22:00,0,0.013,0.027,17,0.001
2017-01-01,23:00,0,0.021,0.018,19,0.001
2017-01-02,0:00,0,0.021,0.014,22,0.001
2017-01-02,1:00,0,0.019,0.016,19,0.001
2017-01-02,2:00,0,0.030,0.003,26,0.001
2017-01-02,3:00,0,0.033,0,31,0.001
2017-01-02,4:00,0,0.032,0.001,40,0.002
2017-01-02,5:00,0,0.026,0.002,31,0.001
2017-01-02,6:00,0,0.025,0.002,19,0.001
2017-01-02,7:00,0,0.026,0,22,0.001
2017-01-02,8:00,0,0.029,0.002,36,0.001
2017-01-02,9:00,0,0.037,0.004,47,0.002
2017-01-02,10:00,0,0.054,0.008,76,0.002
2017-01-02,11:00,0,0.044,0.022,90,0.002
2017-01-02,12:00,0,0.033,0.041,67,0.002
2017-01-02,13:00,0.51,0.028,0.058,41,0.002
2017-01-02,14:00,0.68,0.035,0.075,45,0.002
2017-01-02,15:00,0.24,0.018,0.082,46,0.002
2017-01-02,16:00,0.07,0.012,0.073,32,0.001
2017-01-02,17:00,0.00,0.009,0.056,21,0.001
2017-01-02,18:00,0.13,0.017,0.038,24,0.001
2017-01-02,19:00,0.70,0.036,0.020,32,0.001
2017-01-02,20:00,1.99,0.051,0.004,36,0.002
2017-01-02,21:00,1.63,0.048,0.003,55,0.002
2017-01-02,22:00,1.50,0.047,0.004,56,0.002
2017-01-02,23:00,0.54,0.040,0.005,50,0.002
2017-01-03,0:00,0.66,0.034,0.007,43,0.002
2017-01-03,1:00,0.22,0.019,0.020,42,0.001
2017-01-03,2:00,0.22,0.017,0.019,30,0.001
2017-01-03,3:00,0.14,0.012,0.020,21,0.001
2017-01-03,4:00,0.26,0.019,0.011,19,0.001
2017-01-03,5:00,0.63,0.025,0.005,17,0.001
2017-01-03,6:00,1.53,0.029,0.003,27,0.002
2017-01-03,7:00,2.36,0.032,0.004,42,0.002
2017-01-03,8:00,2.25,0.036,0.003,59,0.002
2017-01-03,9:00,1.90,0.037,0.007,65,0.002
2017-01-03,10:00,1.45,0.036,0.016,62,0.002
2017-01-03,11:00,0.76,0.021,0.033,59,0.002
2017-01-03,12:00,0.64,0.017,0.047,38,0.001
2017-01-03,13:00,0.57,0.015,0.056,43,0.001
2017-01-03,14:00,0.60,0.019,0.066,42,0.001
2017-01-03,15:00,0.58,0.020,0.080,47,0.002
2017-01-03,16:00,0.52,0.021,0.081,60,0.002
2017-01-03,17:00,0.58,0.023,0.085,54,0.002
2017-01-03,18:00,0.55,0.025,0.091,51,0.002
2017-01-03,19:00,1.87,0.082,0.041,50,0.002
2017-01-03,20:00,2.67,0.089,0.008,68,0.002
2017-01-03,21:00,3.77,0.091,0.005,69,0.002
2017-01-03,22:00,5.38,0.086,0.005,93,0.002
2017-01-03,23:00,5.91,0.088,0.004,120,0.002
2017-01-04,0:00,4.61,0.075,0.004,135,0.002
2017-01-04,1:00,0.91,0.067,0.004,114,0.002
2017-01-04,2:00,1.25,0.058,0.003,91,0.002
2017-01-04,3:00,0.49,0.049,0.003,66,0.002
2017-01-04,4:00,0.90,0.051,0.003,56,0.002
2017-01-04,5:00,1.40,0.043,0.003,74,0.002
2017-01-04,6:00,0.00,0.040,0.003,64,0.002
2017-01-04,7:00,0.42,0.047,0.002,66,0.002
2017-01-04,8:00,0.00,0.047,0.003,80,0.002
2017-01-04,9:00,0.00,0.049,0.006,85,0.002
2017-01-04,10:00,0.00,0.042,0.024,86,0.002
2017-01-04,11:00,0.00,0.028,0.046,69,0.001
2017-01-04,12:00,0.00,0.022,0.065,64,0.001
2017-01-04,13:00,0.00,0.014,0.067,54,0.001
2017-01-04,14:00,0.00,0.015,0.076,41,0.002
2017-01-04,15:00,0.00,0.019,0.087,31,0.001
2017-01-04,16:00,0.00,0.017,0.086,27,0.002
2017-01-04,17:00,0.00,0.019,0.081,26,0.002
2017-01-04,18:00,0.00,0.029,0.077,26,0.001
2017-01-04,19:00,0.00,0.057,0.059,45,0.002
2017-01-04,20:00,0.00,0.094,0.015,73,0.002
2017-01-04,21:00,0.00,0.086,0.006,85,0.002
2017-01-04,22:00,0.00,0.039,0.018,59,0.002
2017-01-04,23:00,0.00,0.056,0.005,48,0.002
2017-01-05,0:00,0.00,0.046,0.005,65,0.002
2017-01-05,1:00,0.54,0.039,0.006,46,0.001
2017-01-05,2:00,0.89,0.040,0.003,35,0.002
2017-01-05,3:00,1.19,0.038,0.004,25,0.002
2017-01-05,4:00,2.41,0.041,0.002,42,0.002
2017-01-05,5:00,2.17,0.037,0.002,48,0.002
2017-01-05,6:00,3.33,0.038,0.002,59,0.002
2017-01-05,7:00,4.19,0.035,0.003,64,0.002
2017-01-05,8:00,5.13,0.037,0.004,86,0.002
2017-01-05,9:00,6.22,0.061,0.003,128,0.002
2017-01-05,10:00,4.65,0.087,0.007,130,0.002
2017-01-05,11:00,2.79,0.097,0.020,123,0.002
2017-01-05,12:00,1.21,0.062,0.041,96,0.002
2017-01-05,13:00,0.79,0.055,0.059,71,0.002
2017-01-05,14:00,0.09,0.015,0.052,53,0.001
2017-01-05,15:00,0.00,0.010,0.047,29,0.001
2017-01-05,16:00,0.00,0.008,0.031,32,0.001
2017-01-05,17:00,0.01,0.010,0.033,27,0.001
2017-01-05,18:00,0.10,0.015,0.031,20,0.001
2017-01-05,19:00,0.36,0.029,0.018,30,0.001
