id,name,status,latitude,longitude,dpcapacity
2,(GDL-001) C. Epigmenio Glez./ Av. 16 de Sept.,IN_SERVICE,20.666378,-103.34882,11
3,(GDL-002) C. Colonias  / Av.  Niños héroes,IN_SERVICE,20.667228,-103.366,15
4,(GDL-003) C. Vidrio / Av. Chapultepec,IN_SERVICE,20.66769,-103.368252,19
5,(GDL-004) C. Ghilardi /C. Miraflores,IN_SERVICE,20.69175,-103.36255,11
6,(GDL-005) C. San Diego /Calzada Independencia,IN_SERVICE,20.681151,-103.338863,11
8,(GDL-006) C. Venustiano Carranza /C. Reforma,IN_SERVICE,20.6807519,-103.3443801,11
9,(GDL-007)C. Epigmenio Glez./Av. Cristobal C.,IN_SERVICE,20.666771,-103.350562,15
10,(GDL-008) C. J. Angulo / C. González Ortega,IN_SERVICE,20.681871,-103.350396,15
11,(GDL-009) Calz. Federalismo/ C. J. Angulo,IN_SERVICE,20.681984,-103.353835,19
12,(GDL-010) C. Cruz verde / C. Joaquin Angulo,IN_SERVICE,20.681786,-103.357267,11
13,(GDL-011) C. Garibaldi / C. Frías,IN_SERVICE,20.681081,-103.360099,11
14,(GDL-012) C. Joaquín Angulo / C. Ghilardi,IN_SERVICE,20.681989,-103.36292,11
15,(GDL-013) C. Vidrio  / C. Marsella,IN_SERVICE,20.667623,-103.370499,11
16,(GDL-014)C. J. Angulo/C. José Clemente Orozco,IN_SERVICE,20.682059,-103.365969,15
17,(GDL-015) C. Herrera y Cairo /C. Pedro Buzeta,IN_SERVICE,20.683191,-103.369349,15
18,(GDL-016)C. Bernardo de Balbuena/C. J. Angulo,IN_SERVICE,20.682007,-103.372642,15
19,(GDL-017) Av. México /C. Bernardo de Balbuena,IN_SERVICE,20.679086,-103.372841,15
20,(GDL-018) Av. México / C. Manuel M. Diéguez,IN_SERVICE,20.679296,-103.370658,11
21,(GDL-019)  C. Juan Manuel / C. Andrés Terán,IN_SERVICE,20.678835,-103.368045,19
22,(GDL-020) C. Juan Manuel / C.General Coronado,IN_SERVICE,20.678714,-103.36573,15
23,(GDL-021) C. Nicolás Romero / C. Reforma,IN_SERVICE,20.67966,-103.362224,15
24,(GDL-022)C. San Felipe /C. Enrique D. de León,IN_SERVICE,20.679389,-103.35913,15
25,(GDL-023) C. Jesús / C. San Felipe,IN_SERVICE,20.679309,-103.356281,15
26,(GDL-024) Av.  Federalismo / C. Juan Manuel,IN_SERVICE,20.678777,-103.354035,15
27,(GDL-025) C. Reforma / C. González Ortega,IN_SERVICE,20.680227,-103.350146,15
28,(GDL-026) C. Pedro Loza / C. Reforma,IN_SERVICE,20.680478,-103.348377,15
29,(GDL-027) C. Belén / C. San Felipe,IN_SERVICE,20.679861,-103.345198,11
30,(GDL-028) C. Gregorio Dávila /C. Manuel Acuña,IN_SERVICE,20.684187,-103.36113,11
31,(GDL-029)Calz. Indep. /C. Juan Manuel,IN_SERVICE,20.679505,-103.339753,15
32,(GDL-030) C. Pedro Moreno/ C. Progreso,IN_SERVICE,20.675461,-103.367501,19
33,(GDL-031) C. Hospital / C. Andrés Terán,IN_SERVICE,20.685652,-103.368215,11
34,(GDL-032) C. Degollado / Av. Hidalgo,IN_SERVICE,20.6772627,-103.344908,15
35,(GDL-033) Av. Hidalgo / C. Pedro Loza,IN_SERVICE,20.677419,-103.347983,15
36,(GDL-034) C. Morelos / C. Donato Guerra,IN_SERVICE,20.676461,-103.350244,11
37,(GDL-035)C. Mezquitán / Av. Hidalgo,IN_SERVICE,20.677315,-103.3534145,11
38,(GDL-036) C. Marcos Castellanos/ C. Morelos,IN_SERVICE,20.676078,-103.356458,19
39,(GDL-037) C.Juan N. Cumplido /C. Independenci,IN_SERVICE,20.678034,-103.358466,15
40,(GDL-038) C. Nicolás Romero / Av. Hidalgo,IN_SERVICE,20.676656,-103.362331,15
41,(GDL-039) C. General Coronado / Av. Hidalgo,IN_SERVICE,20.677108,-103.365088,15
42,(GDL-040) C. Morelos / C. Progreso,IN_SERVICE,20.676067,-103.367049,15
43,(GDL-041) C. Manuel M. Diéguez / Av. Hidalgo,IN_SERVICE,20.67671,-103.37066,15
44,(GDL-042) C. Bernardo de Balbuena /Av Hidalgo,IN_SERVICE,20.676628,-103.372687,15
45,(GDL-043) C. Simón Bolivar / C. López Cotilla,IN_SERVICE,20.673756,-103.372613,11
46,(GDL-044)C. Gral. San Martín /Av.  Vallarta,IN_SERVICE,20.674636,-103.371639,15
47,(GDL-045) C. Pedro Moreno / C. Marsella,IN_SERVICE,20.675444,-103.370147,19
48,(GDL-046) C. Emerson / Av. Vallarta,IN_SERVICE,20.675014,-103.365025,11
49,(GDL-047) C. Robles Gil / Av. Vallarta,IN_SERVICE,20.674931,-103.362351,15
50,(GDL-048) C. Escorza / Av. Vallarta,IN_SERVICE,20.674721,-103.358548,19
51,(GDL-049) Lopez Cotilla/ Marcos Castellanos,IN_SERVICE,20.6740865,-103.3563196,33
52,(GDL-050) C. Pedro Moreno / Calz. Federalismo,IN_SERVICE,20.675746,-103.354579,23
53,(GDL-051) C. 8 de Julio / Av. Juárez,IN_SERVICE,20.674559,-103.352663,15
54,(GDL-052) Av. Juárez / Av. 16 de Septiembre,IN_SERVICE,20.675244,-103.347889,23
55,(GDL-053) C. Maestranza / Av. Juárez,IN_SERVICE,20.675401,-103.345665,15
56,(GDL-054) Av. Juárez / Calz. Independencia,IN_SERVICE,20.675421,-103.342049,23
57,(GDL-055) C. Degollado /C.Prisciliano Sánchez,IN_SERVICE,20.672696,-103.345366,15
58,(GDL-056) Av. 16 de Sept. / C. Miguel Blanco,IN_SERVICE,20.671971,-103.347422,19
59,(GDL-057) C. Ocampo / C. Prisciliano Sánchez,IN_SERVICE,20.672516,-103.349573,11
60,(GDL-058) C. Pavo / C. Prisciliano Sánchez,IN_SERVICE,20.672641,-103.353542,11
61,(GDL-059) C. Miguel Blanco / C. Penitenciaria,IN_SERVICE,20.672231,-103.355508,15
62,(GDL-060) C. Madero/ C. Camarena,IN_SERVICE,20.6734,-103.357684,23
63,(GDL-061) C. Libertad /  C. Argentina,IN_SERVICE,20.671778,-103.361274,19
64,(GDL-062) C. Libertad / C. Moscú,IN_SERVICE,20.673072,-103.365055,15
65,(GDL-063) C. Colonias  / C. López Cotilla,IN_SERVICE,20.674132,-103.366139,23
66,(GDL-064) C. Marsella / C. López Cotilla,IN_SERVICE,20.673321,-103.370571,19
67,(GDL-065) C. Simón Bolivar / Av. La Paz,IN_SERVICE,20.672372,-103.372584,15
68,(GDL-066) C Lerdo de Tejada/C Gral. Sn Martín,IN_SERVICE,20.671364,-103.371786,15
69,(GDL-067) Calzada Federalismo / C. Vidrio,IN_SERVICE,20.6668825,-103.3555917,19
70,(GDL-068) C. Guadalupe Zuno / Av. Chapultepec,IN_SERVICE,20.670512,-103.368306,19
71,(GDL-069) C. Colonias / C. Guadalupe Zuno,IN_SERVICE,20.670468,-103.366071,15
72,(GDL-070) Av. La  Paz / C. Juan de Ojeda,IN_SERVICE,20.671455,-103.363633,11
73,(GDL-071) Av. La Paz /Av.Enrique Díaz de León,IN_SERVICE,20.670362,-103.359537,15
74,(GDL-072) Av. La Paz / C. Camarena,IN_SERVICE,20.67056,-103.357589,15
